2018-02-12 01:49:04,318 [DEBUG] __main__: Iter 12, turn UNI, randomaction: drrn
2018-02-12 01:49:04,318 [DEBUG] __main__: Iter 12, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,318 [DEBUG] __main__: Iter 13, turn UNI, randomaction: dlun
2018-02-12 01:49:04,319 [DEBUG] __main__: Iter 13, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,319 [DEBUG] __main__: Iter 14, turn UNI, randomaction: llrn
2018-02-12 01:49:04,319 [DEBUG] __main__: Iter 14, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,319 [DEBUG] __main__: Iter 15, turn UNI, randomaction: lrun
2018-02-12 01:49:04,320 [DEBUG] __main__: Iter 15, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,320 [DEBUG] __main__: Iter 16, turn UNI, randomaction: dppn
2018-02-12 01:49:04,320 [DEBUG] __main__: Iter 16, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,320 [DEBUG] __main__: Iter 17, turn UNI, randomaction: drun
2018-02-12 01:49:04,321 [DEBUG] __main__: Iter 17, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,321 [DEBUG] __main__: Iter 18, turn UNI, randomaction: pprn
2018-02-12 01:49:04,321 [DEBUG] __main__: Iter 18, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,321 [DEBUG] __main__: Iter 19, turn UNI, randomaction: lrrn
2018-02-12 01:49:04,322 [DEBUG] __main__: Iter 19, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,322 [DEBUG] __main__: Iter 20, turn UNI, randomaction: drpn
2018-02-12 01:49:04,322 [DEBUG] __main__: Iter 20, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,322 [DEBUG] __main__: Iter 21, turn UNI, randomaction: prrn
2018-02-12 01:49:04,322 [DEBUG] __main__: Iter 21, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,323 [DEBUG] __main__: Iter 22, turn UNI, randomaction: dupn
2018-02-12 01:49:04,323 [DEBUG] __main__: Iter 22, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,323 [DEBUG] __main__: Iter 23, turn UNI, randomaction: duun
2018-02-12 01:49:04,323 [DEBUG] __main__: Iter 23, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,324 [DEBUG] __main__: Iter 24, turn UNI, randomaction: drrn
2018-02-12 01:49:04,324 [DEBUG] __main__: Iter 24, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,324 [DEBUG] __main__: Iter 25, turn UNI, randomaction: dlrn
2018-02-12 01:49:04,324 [DEBUG] __main__: Iter 25, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,325 [DEBUG] __main__: Iter 26, turn UNI, randomaction: plpn
2018-02-12 01:49:04,325 [DEBUG] __main__: Iter 26, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,325 [DEBUG] __main__: Iter 27, turn UNI, randomaction: durn
2018-02-12 01:49:04,325 [DEBUG] __main__: Iter 27, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,326 [DEBUG] __main__: Iter 28, turn UNI, randomaction: plpn
2018-02-12 01:49:04,326 [DEBUG] __main__: Iter 28, turn AIG, randomaction: nnnu
